name,parent,size,type
base.py,resolvelib,5220,file
candidates.py,resolvelib,18963,file
factory.py,resolvelib,27878,file
found_candidates.py,resolvelib,5705,file
provider.py,resolvelib,9914,file
reporter.py,resolvelib,2526,file
requirements.py,resolvelib,5455,file
resolver.py,resolvelib,11533,file
__init__.py,resolvelib,0,file
resolvelib,resolution,87350,directory
appdirs.py,utils,1665,file
compat.py,utils,1884,file
compatibility_tags.py,utils,5377,file
datetime.py,utils,242,file
deprecation.py,utils,5764,file
direct_url_helpers.py,utils,3206,file
distutils_args.py,utils,1115,file
egg_link.py,utils,2203,file
encoding.py,utils,1169,file
entrypoints.py,utils,3064,file
filesystem.py,utils,5122,file
filetypes.py,utils,716,file
glibc.py,utils,3110,file
hashes.py,utils,4831,file
inject_securetransport.py,utils,795,file
logging.py,utils,11632,file
misc.py,utils,21617,file
models.py,utils,1193,file
packaging.py,utils,2108,file
setuptools_build.py,utils,5662,file
subprocess.py,utils,9197,file
temp_dir.py,utils,7702,file
unpacking.py,utils,8821,file
urls.py,utils,1759,file
virtualenv.py,utils,3459,file
wheel.py,utils,4549,file
_log.py,utils,1015,file
__init__.py,utils,0,file
utils,_internal,118977,directory
bazaar.py,vcs,3518,file
git.py,vcs,18116,file
mercurial.py,vcs,5238,file
subversion.py,vcs,11728,file
versioncontrol.py,vcs,22811,file
__init__.py,vcs,596,file
vcs,_internal,62007,directory
six.py,_vendor,34549,file
typing_extensions.py,_vendor,80114,file
vendor.txt,_vendor,469,file
__init__.py,_vendor,4966,file
_vendor,pip,8626216,directory
adapter.py,cachecontrol,5033,file
cache.py,cachecontrol,1535,file
compat.py,cachecontrol,778,file
controller.py,cachecontrol,16416,file
filewrapper.py,cachecontrol,3946,file
heuristics.py,cachecontrol,4154,file
serialize.py,cachecontrol,7105,file
wrapper.py,cachecontrol,774,file
_cmd.py,cachecontrol,1379,file
__init__.py,cachecontrol,465,file
cachecontrol,_vendor,48131,directory
file_cache.py,caches,5271,file
redis_cache.py,caches,1033,file
__init__.py,caches,242,file
caches,cachecontrol,6546,directory
cacert.pem,certifi,286370,file
core.py,certifi,4279,file
__init__.py,certifi,94,file
__main__.py,certifi,255,file
certifi,_vendor,290998,directory
big5freq.py,chardet,31274,file
big5prober.py,chardet,1741,file
chardistribution.py,chardet,9608,file
charsetgroupprober.py,chardet,3817,file
charsetprober.py,chardet,4801,file
codingstatemachine.py,chardet,3559,file
cp949prober.py,chardet,1838,file
enums.py,chardet,1619,file
escprober.py,chardet,3864,file
escsm.py,chardet,12021,file
eucjpprober.py,chardet,3676,file
euckrfreq.py,chardet,13566,file
euckrprober.py,chardet,1731,file
euctwfreq.py,chardet,36913,file
euctwprober.py,chardet,1731,file
gb2312freq.py,chardet,20735,file
gb2312prober.py,chardet,1737,file
hebrewprober.py,chardet,13919,file
jisfreq.py,chardet,25796,file
johabfreq.py,chardet,42498,file
johabprober.py,chardet,1730,file
jpcntx.py,chardet,26797,file
langbulgarianmodel.py,chardet,104562,file
langgreekmodel.py,chardet,98484,file
langhebrewmodel.py,chardet,98196,file
langhungarianmodel.py,chardet,101363,file
langrussianmodel.py,chardet,128035,file
langthaimodel.py,chardet,102774,file
langturkishmodel.py,chardet,95372,file
latin1prober.py,chardet,5260,file
mbcharsetprober.py,chardet,3367,file
mbcsgroupprober.py,chardet,2056,file
mbcssm.py,chardet,30068,file
sbcharsetprober.py,chardet,6199,file
sbcsgroupprober.py,chardet,4129,file
sjisprober.py,chardet,3749,file
universaldetector.py,chardet,13288,file
utf1632prober.py,chardet,8289,file
utf8prober.py,chardet,2709,file
version.py,chardet,242,file
__init__.py,chardet,3705,file
chardet,_vendor,1105951,directory
chardetect.py,cli,2406,file
__init__.py,cli,0,file
cli,chardet,2406,directory
languages.py,metadata,13280,file
__init__.py,metadata,0,file
metadata,chardet,30907,directory
ansi.py,colorama,2522,file
ansitowin32.py,colorama,10830,file
initialise.py,colorama,1915,file
win32.py,colorama,5404,file
winterm.py,colorama,6438,file
__init__.py,colorama,239,file
colorama,_vendor,27348,directory
compat.py,distlib,41259,file
database.py,distlib,51697,file
index.py,distlib,20834,file
locators.py,distlib,51991,file
manifest.py,distlib,14811,file
markers.py,distlib,5058,file
metadata.py,distlib,39801,file
resources.py,distlib,10820,file
scripts.py,distlib,18102,file
t32.exe,distlib,97792,file
t64-arm.exe,distlib,182784,file
t64.exe,distlib,108032,file
util.py,distlib,66262,file
version.py,distlib,23513,file
w32.exe,distlib,91648,file
w64-arm.exe,distlib,168448,file
w64.exe,distlib,101888,file
wheel.py,distlib,43898,file
__init__.py,distlib,581,file
distlib,_vendor,1139219,directory
distro.py,distro,48841,file
__init__.py,distro,981,file
__main__.py,distro,64,file
distro,_vendor,49886,directory
codec.py,idna,3374,file
compat.py,idna,321,file
core.py,idna,12950,file
idnadata.py,idna,44375,file
intranges.py,idna,1881,file
package_data.py,idna,21,file
uts46data.py,idna,206539,file
__init__.py,idna,849,file
idna,_vendor,270310,directory
exceptions.py,msgpack,1081,file
ext.py,msgpack,6080,file
fallback.py,msgpack,34557,file
__init__.py,msgpack,1132,file
msgpack,_vendor,42850,directory
markers.py,packaging,8487,file
requirements.py,packaging,4676,file
specifiers.py,packaging,30110,file
tags.py,packaging,15699,file
utils.py,packaging,4200,file
version.py,packaging,14665,file
_manylinux.py,packaging,11488,file
_musllinux.py,packaging,4378,file
_structures.py,packaging,1431,file
__about__.py,packaging,661,file
__init__.py,packaging,497,file
packaging,_vendor,103232,directory
build.py,pep517,3443,file
check.py,pep517,6083,file
colorlog.py,pep517,3994,file
dirtools.py,pep517,607,file
envbuild.py,pep517,6081,file
meta.py,pep517,2520,file
wrappers.py,pep517,12721,file
_compat.py,pep517,138,file
__init__.py,pep517,130,file
pep517,_vendor,47390,directory
_in_process.py,in_process,10801,file
__init__.py,in_process,872,file
in_process,pep517,11673,directory
py31compat.py,pkg_resources,562,file
__init__.py,pkg_resources,108287,file
pkg_resources,_vendor,1576502,directory
android.py,platformdirs,4068,file
api.py,platformdirs,4910,file
macos.py,platformdirs,2655,file
unix.py,platformdirs,6910,file
version.py,platformdirs,78,file
windows.py,platformdirs,6439,file
__init__.py,platformdirs,12831,file
__main__.py,platformdirs,1176,file
platformdirs,_vendor,39067,directory
cmdline.py,pygments,23685,file
console.py,pygments,1697,file
filter.py,pygments,1938,file
formatter.py,pygments,2917,file
lexer.py,pygments,32005,file
modeline.py,pygments,986,file
plugin.py,pygments,2591,file
regexopt.py,pygments,3072,file
scanner.py,pygments,3092,file
sphinxext.py,pygments,4630,file
style.py,pygments,6257,file
token.py,pygments,6184,file
unistring.py,pygments,63187,file
util.py,pygments,9110,file
__init__.py,pygments,2999,file
__main__.py,pygments,353,file
pygments,_vendor,479266,directory
__init__.py,filters,40386,file
filters,pygments,40386,directory
bbcode.py,formatters,3314,file
groff.py,formatters,5086,file
html.py,formatters,35441,file
img.py,formatters,21938,file
irc.py,formatters,5871,file
latex.py,formatters,19351,file
other.py,formatters,5073,file
pangomarkup.py,formatters,2212,file
rtf.py,formatters,5014,file
svg.py,formatters,7335,file
terminal.py,formatters,4674,file
terminal256.py,formatters,11753,file
_mapping.py,formatters,4104,file
__init__.py,formatters,4810,file
formatters,pygments,135976,directory
python.py,lexers,53376,file
_mapping.py,lexers,70232,file
__init__.py,lexers,11174,file
lexers,pygments,134782,directory
__init__.py,styles,3419,file
styles,pygments,3419,directory
actions.py,pyparsing,6426,file
common.py,pyparsing,12936,file
core.py,pyparsing,213344,file
exceptions.py,pyparsing,9023,file
helpers.py,pyparsing,39129,file
results.py,pyparsing,25341,file
testing.py,pyparsing,13402,file
unicode.py,pyparsing,10787,file
util.py,pyparsing,6805,file
__init__.py,pyparsing,9171,file
pyparsing,_vendor,424308,directory
__init__.py,diagram,23685,file
diagram,pyparsing,23685,directory
adapters.py,requests,21443,file
api.py,requests,6377,file
auth.py,requests,10187,file
certs.py,requests,575,file
compat.py,requests,1286,file
cookies.py,requests,18560,file
exceptions.py,requests,3823,file
help.py,requests,3879,file
hooks.py,requests,733,file
models.py,requests,35287,file
packages.py,requests,695,file
sessions.py,requests,30180,file
status_codes.py,requests,4235,file
structures.py,requests,2912,file
utils.py,requests,33240,file
_internal_utils.py,requests,1397,file
__init__.py,requests,5178,file
__version__.py,requests,440,file
requests,_vendor,180427,directory
providers.py,resolvelib,5872,file
reporters.py,resolvelib,1583,file
resolvers.py,resolvelib,17592,file
structs.py,resolvelib,4794,file
__init__.py,resolvelib,537,file
resolvelib,_vendor,30534,directory
collections_abc.py,compat,156,file
__init__.py,compat,0,file
compat,resolvelib,156,directory
abc.py,rich,890,file
align.py,rich,10368,file
ansi.py,rich,6820,file
bar.py,rich,3264,file
box.py,rich,9864,file
cells.py,rich,4503,file
color.py,rich,17957,file
color_triplet.py,rich,1054,file
columns.py,rich,7131,file
console.py,rich,95885,file
constrain.py,rich,1288,file
containers.py,rich,5497,file
control.py,rich,6630,file
default_styles.py,rich,7954,file
diagnose.py,rich,972,file
emoji.py,rich,2501,file
errors.py,rich,642,file
filesize.py,rich,2507,file
file_proxy.py,rich,1616,file
highlighter.py,rich,9585,file
json.py,rich,5051,file
jupyter.py,rich,3252,file
layout.py,rich,14074,file
live.py,rich,14172,file
live_render.py,rich,3667,file
logging.py,rich,11471,file
markup.py,rich,8198,file
measure.py,rich,5305,file
padding.py,rich,4970,file
pager.py,rich,828,file
palette.py,rich,3396,file
panel.py,rich,8744,file
pretty.py,rich,36576,file
progress.py,rich,59746,file
progress_bar.py,rich,8161,file
prompt.py,rich,11303,file
protocol.py,rich,1391,file
region.py,rich,166,file
repr.py,rich,4449,file
rule.py,rich,4773,file
scope.py,rich,2842,file
screen.py,rich,1591,file
segment.py,rich,24224,file
spinner.py,rich,4374,file
status.py,rich,4425,file
style.py,rich,26240,file
styled.py,rich,1258,file
syntax.py,rich,34697,file
table.py,rich,39515,file
terminal_theme.py,rich,3370,file
text.py,rich,44666,file
theme.py,rich,3627,file
themes.py,rich,102,file
traceback.py,rich,26060,file
tree.py,rich,9169,file
_cell_widths.py,rich,10096,file
_emoji_codes.py,rich,140235,file
_emoji_replace.py,rich,1064,file
_export_format.py,rich,2114,file
_extension.py,rich,265,file
_inspect.py,rich,9695,file
_log_render.py,rich,3225,file
_loop.py,rich,1236,file
_palettes.py,rich,7063,file
_pick.py,rich,423,file
_ratio.py,rich,5472,file
_spinners.py,rich,19919,file
_stack.py,rich,351,file
_timer.py,rich,417,file
_win32_console.py,rich,22820,file
_windows.py,rich,1926,file
_windows_renderer.py,rich,2783,file
_wrap.py,rich,1840,file
__init__.py,rich,5944,file
__main__.py,rich,8808,file
rich,_vendor,878477,directory
after.py,tenacity,1496,file
before.py,tenacity,1376,file
before_sleep.py,tenacity,1908,file
nap.py,tenacity,1383,file
retry.py,tenacity,7550,file
stop.py,tenacity,2790,file
tornadoweb.py,tenacity,2145,file
wait.py,tenacity,8011,file
_asyncio.py,tenacity,3314,file
_utils.py,tenacity,1944,file
__init__.py,tenacity,18364,file
tenacity,_vendor,50281,directory
_parser.py,tomli,22633,file
_re.py,tomli,2943,file
_types.py,tomli,254,file
__init__.py,tomli,396,file
tomli,_vendor,26226,directory
connection.py,urllib3,20070,file
connectionpool.py,urllib3,39093,file
exceptions.py,urllib3,8217,file
fields.py,urllib3,8579,file
filepost.py,urllib3,2440,file
poolmanager.py,urllib3,19786,file
request.py,urllib3,5985,file
response.py,urllib3,30109,file
_collections.py,urllib3,10811,file
_version.py,urllib3,64,file
__init__.py,urllib3,3333,file
urllib3,_vendor,388569,directory
appengine.py,contrib,11034,file
ntlmpool.py,contrib,4538,file
pyopenssl.py,contrib,17182,file
securetransport.py,contrib,34448,file
socks.py,contrib,7097,file
_appengine_environ.py,contrib,957,file
__init__.py,contrib,0,file
contrib,urllib3,106810,directory
bindings.py,_securetransport,17632,file
low_level.py,_securetransport,13922,file
__init__.py,_securetransport,0,file
_securetransport,contrib,31554,directory
six.py,packages,34665,file
__init__.py,packages,0,file
packages,urllib3,36082,directory
makefile.py,backports,1417,file
__init__.py,backports,0,file
backports,packages,1417,directory
connection.py,util,4901,file
proxy.py,util,1605,file
queue.py,util,498,file
request.py,util,3997,file
response.py,util,3510,file
retry.py,util,22001,file
ssltransport.py,util,6895,file
ssl_.py,util,17177,file
ssl_match_hostname.py,util,5758,file
timeout.py,util,10003,file
url.py,util,14287,file
wait.py,util,5403,file
__init__.py,util,1155,file
util,urllib3,97190,directory
labels.py,webencodings,8979,file
mklabels.py,webencodings,1305,file
tests.py,webencodings,6563,file
x_user_defined.py,webencodings,4307,file
__init__.py,webencodings,10579,file
webencodings,_vendor,31733,directory
entry_points.txt,pip-22.3.1.dist-info,125,file
INSTALLER,pip-22.3.1.dist-info,5,file
LICENSE.txt,pip-22.3.1.dist-info,1093,file
METADATA,pip-22.3.1.dist-info,4072,file
RECORD,pip-22.3.1.dist-info,71279,file
top_level.txt,pip-22.3.1.dist-info,4,file
WHEEL,pip-22.3.1.dist-info,92,file
pip-22.3.1.dist-info,site-packages,76670,directory
__init__.py,pkg_resources,108568,file
pkg_resources,site-packages,1576221,directory
__init__.py,extern,2426,file
extern,pkg_resources,9366,directory
__init__.cpython-311.pyc,__pycache__,4343,file
__pycache__,extern,4343,directory
appdirs.py,_vendor,24701,file
zipp.py,_vendor,8425,file
__init__.py,_vendor,0,file
_vendor,pkg_resources,8539244,directory
abc.py,importlib_resources,3886,file
readers.py,importlib_resources,3566,file
simple.py,importlib_resources,2836,file
_adapters.py,importlib_resources,4504,file
_common.py,importlib_resources,2741,file
_compat.py,importlib_resources,2706,file
_itertools.py,importlib_resources,884,file
_legacy.py,importlib_resources,3494,file
__init__.py,importlib_resources,506,file
importlib_resources,_vendor,25123,directory
context.py,jaraco,5420,file
functools.py,jaraco,13515,file
__init__.py,jaraco,0,file
jaraco,_vendor,63849,directory
__init__.py,text,15526,file
text,jaraco,22466,directory
__init__.cpython-311.pyc,__pycache__,26634,file
__pycache__,text,26634,directory
context.cpython-311.pyc,__pycache__,9454,file
functools.cpython-311.pyc,__pycache__,20317,file
__init__.cpython-311.pyc,__pycache__,231,file
__pycache__,jaraco,30002,directory
more.py,more_itertools,132569,file
recipes.py,more_itertools,18410,file
__init__.py,more_itertools,83,file
more_itertools,_vendor,158002,directory
more.cpython-311.pyc,__pycache__,167986,file
recipes.cpython-311.pyc,__pycache__,26977,file
__init__.cpython-311.pyc,__pycache__,325,file
__pycache__,more_itertools,195288,directory
markers.py,packaging,8496,file
requirements.py,packaging,4706,file
specifiers.py,packaging,30110,file
tags.py,packaging,15699,file
utils.py,packaging,4200,file
version.py,packaging,14665,file
_manylinux.py,packaging,11488,file
_musllinux.py,packaging,4378,file
_structures.py,packaging,1431,file
__about__.py,packaging,661,file
__init__.py,packaging,497,file
packaging,_vendor,103271,directory
markers.cpython-311.pyc,__pycache__,16567,file
requirements.cpython-311.pyc,__pycache__,7682,file
specifiers.cpython-311.pyc,__pycache__,34396,file
tags.cpython-311.pyc,__pycache__,21381,file
utils.cpython-311.pyc,__pycache__,6716,file
version.cpython-311.pyc,__pycache__,21908,file
_manylinux.cpython-311.pyc,__pycache__,13262,file
_musllinux.cpython-311.pyc,__pycache__,8030,file
_structures.cpython-311.pyc,__pycache__,3718,file
__about__.cpython-311.pyc,__pycache__,675,file
__init__.cpython-311.pyc,__pycache__,596,file
__pycache__,packaging,134931,directory
actions.py,pyparsing,6426,file
common.py,pyparsing,12936,file
core.py,pyparsing,213310,file
exceptions.py,pyparsing,9023,file
helpers.py,pyparsing,39129,file
results.py,pyparsing,25341,file
testing.py,pyparsing,13402,file
unicode.py,pyparsing,10787,file
util.py,pyparsing,6805,file
__init__.py,pyparsing,9159,file
pyparsing,_vendor,424262,directory
__init__.py,diagram,23668,file
diagram,pyparsing,23668,directory
actions.cpython-311.pyc,__pycache__,8495,file
common.cpython-311.pyc,__pycache__,14817,file
core.cpython-311.pyc,__pycache__,277669,file
exceptions.cpython-311.pyc,__pycache__,12959,file
helpers.cpython-311.pyc,__pycache__,53660,file
results.cpython-311.pyc,__pycache__,36343,file
testing.cpython-311.pyc,__pycache__,19539,file
unicode.cpython-311.pyc,__pycache__,15397,file
util.cpython-311.pyc,__pycache__,14296,file
__init__.cpython-311.pyc,__pycache__,8369,file
__pycache__,pyparsing,461544,directory
appdirs.cpython-311.pyc,__pycache__,29472,file
__init__.cpython-311.pyc,__pycache__,224,file
__pycache__,_vendor,29696,directory
__init__.cpython-311.pyc,__pycache__,159596,file
__pycache__,pkg_resources,159596,directory
archive_util.py,setuptools,7346,file
build_meta.py,setuptools,19539,file
cli-32.exe,setuptools,65536,file
cli-64.exe,setuptools,74752,file
cli-arm64.exe,setuptools,137216,file
cli.exe,setuptools,65536,file
depends.py,setuptools,5499,file
dep_util.py,setuptools,949,file
discovery.py,setuptools,20799,file
dist.py,setuptools,45578,file
errors.py,setuptools,2464,file
extension.py,setuptools,5591,file
glob.py,setuptools,4873,file
gui-32.exe,setuptools,65536,file
gui-64.exe,setuptools,75264,file
gui-arm64.exe,setuptools,137728,file
gui.exe,setuptools,65536,file
installer.py,setuptools,3824,file
launch.py,setuptools,812,file
logging.py,setuptools,1210,file
monkey.py,setuptools,4857,file
msvc.py,setuptools,47724,file
namespaces.py,setuptools,3093,file
package_index.py,setuptools,40329,file
py34compat.py,setuptools,245,file
sandbox.py,setuptools,14348,file
script (dev).tmpl,setuptools,218,file
script.tmpl,setuptools,138,file
unicode_utils.py,setuptools,941,file
version.py,setuptools,144,file
wheel.py,setuptools,8376,file
windows_support.py,setuptools,718,file
_deprecation_warning.py,setuptools,218,file
_entry_points.py,setuptools,1972,file
_imp.py,setuptools,2392,file
_importlib.py,setuptools,1311,file
_itertools.py,setuptools,675,file
_path.py,setuptools,749,file
_reqs.py,setuptools,501,file
__init__.py,setuptools,8429,file
setuptools,site-packages,2903021,directory
alias.py,command,2381,file
bdist_egg.py,command,16623,file
bdist_rpm.py,command,1182,file
build.py,command,6589,file
build_clib.py,command,4415,file
build_ext.py,command,15821,file
build_py.py,command,14115,file
develop.py,command,7012,file
dist_info.py,command,4800,file
easy_install.py,command,85662,file
editable_wheel.py,command,31188,file
egg_info.py,command,26795,file
install.py,command,5163,file
install_egg_info.py,command,2226,file
install_lib.py,command,3875,file
install_scripts.py,command,2612,file
launcher manifest.xml,command,628,file
py36compat.py,command,4946,file
register.py,command,468,file
rotate.py,command,2128,file
saveopts.py,command,658,file
sdist.py,command,7071,file
setopt.py,command,5086,file
test.py,command,8102,file
upload.py,command,462,file
upload_docs.py,command,7494,file
__init__.py,command,396,file
command,setuptools,267898,directory
expand.py,config,16319,file
pyprojecttoml.py,config,19304,file
setupcfg.py,config,25198,file
_apply_pyprojecttoml.py,config,13398,file
__init__.py,config,1121,file
config,setuptools,369045,directory
error_reporting.py,_validate_pyproject,11266,file
extra_validations.py,_validate_pyproject,1153,file
fastjsonschema_exceptions.py,_validate_pyproject,1612,file
fastjsonschema_validations.py,_validate_pyproject,269900,file
formats.py,_validate_pyproject,8736,file
__init__.py,_validate_pyproject,1038,file
_validate_pyproject,config,293705,directory
__init__.py,extern,2512,file
extern,setuptools,9452,directory
archive_util.py,_distutils,8603,file
bcppcompiler.py,_distutils,14789,file
ccompiler.py,_distutils,47369,file
cmd.py,_distutils,17973,file
config.py,_distutils,4920,file
core.py,_distutils,9451,file
cygwinccompiler.py,_distutils,12537,file
debug.py,_distutils,139,file
dep_util.py,_distutils,3423,file
dir_util.py,_distutils,8082,file
dist.py,_distutils,50186,file
errors.py,_distutils,3589,file
extension.py,_distutils,10270,file
fancy_getopt.py,_distutils,17910,file
filelist.py,_distutils,13713,file
file_util.py,_distutils,8226,file
log.py,_distutils,1972,file
msvc9compiler.py,_distutils,30235,file
msvccompiler.py,_distutils,23602,file
py38compat.py,_distutils,217,file
py39compat.py,_distutils,639,file
spawn.py,_distutils,3517,file
sysconfig.py,_distutils,18858,file
text_file.py,_distutils,12096,file
unixccompiler.py,_distutils,15641,file
util.py,_distutils,18128,file
version.py,_distutils,12952,file
versionpredicate.py,_distutils,5248,file
_collections.py,_distutils,1330,file
_functools.py,_distutils,411,file
_macos_compat.py,_distutils,239,file
_msvccompiler.py,_distutils,19672,file
__init__.py,_distutils,537,file
_distutils,setuptools,604933,directory
bdist.py,command,5441,file
bdist_dumb.py,command,4701,file
bdist_rpm.py,command,22051,file
build.py,command,5617,file
build_clib.py,command,7728,file
build_ext.py,command,31558,file
build_py.py,command,16568,file
build_scripts.py,command,5624,file
check.py,command,4888,file
clean.py,command,2603,file
config.py,command,13137,file
install.py,command,30221,file
install_data.py,command,2779,file
install_egg_info.py,command,2785,file
install_headers.py,command,1189,file
install_lib.py,command,8434,file
install_scripts.py,command,1936,file
py37compat.py,command,672,file
register.py,command,11765,file
sdist.py,command,19241,file
upload.py,command,7477,file
_framework_compat.py,command,1614,file
__init__.py,command,430,file
command,_distutils,208459,directory
ordered_set.py,_vendor,15130,file
typing_extensions.py,_vendor,87149,file
zipp.py,_vendor,8425,file
__init__.py,_vendor,0,file
_vendor,setuptools,8616822,directory
_adapters.py,importlib_metadata,1862,file
_collections.py,importlib_metadata,743,file
_compat.py,importlib_metadata,1828,file
_functools.py,importlib_metadata,2895,file
_itertools.py,importlib_metadata,2068,file
_meta.py,importlib_metadata,1154,file
_text.py,importlib_metadata,2166,file
__init__.py,importlib_metadata,30130,file
importlib_metadata,_vendor,42846,directory
abc.py,importlib_resources,3886,file
readers.py,importlib_resources,3566,file
simple.py,importlib_resources,2836,file
_adapters.py,importlib_resources,4504,file
_common.py,importlib_resources,2741,file
_compat.py,importlib_resources,2706,file
_itertools.py,importlib_resources,884,file
_legacy.py,importlib_resources,3494,file
__init__.py,importlib_resources,506,file
importlib_resources,_vendor,25123,directory
context.py,jaraco,5420,file
functools.py,jaraco,13512,file
__init__.py,jaraco,0,file
jaraco,_vendor,63846,directory
__init__.py,text,15517,file
text,jaraco,22457,directory
more.py,more_itertools,117959,file
recipes.py,more_itertools,16256,file
__init__.py,more_itertools,82,file
more_itertools,_vendor,141237,directory
markers.py,packaging,8493,file
requirements.py,packaging,4700,file
specifiers.py,packaging,30110,file
tags.py,packaging,15699,file
utils.py,packaging,4200,file
version.py,packaging,14665,file
_manylinux.py,packaging,11488,file
_musllinux.py,packaging,4378,file
_structures.py,packaging,1431,file
__about__.py,packaging,661,file
__init__.py,packaging,497,file
packaging,_vendor,103262,directory
actions.py,pyparsing,6426,file
common.py,pyparsing,12936,file
core.py,pyparsing,213310,file
exceptions.py,pyparsing,9023,file
helpers.py,pyparsing,39129,file
results.py,pyparsing,25341,file
testing.py,pyparsing,13402,file
unicode.py,pyparsing,10787,file
util.py,pyparsing,6805,file
__init__.py,pyparsing,9159,file
pyparsing,_vendor,424262,directory
__init__.py,diagram,23668,file
diagram,pyparsing,23668,directory
_parser.py,tomli,22633,file
_re.py,tomli,2943,file
_types.py,tomli,254,file
__init__.py,tomli,396,file
tomli,_vendor,26226,directory
entry_points.txt,setuptools-65.5.1.dist-info,2740,file
INSTALLER,setuptools-65.5.1.dist-info,5,file
LICENSE,setuptools-65.5.1.dist-info,1050,file
METADATA,setuptools-65.5.1.dist-info,6311,file
RECORD,setuptools-65.5.1.dist-info,35656,file
top_level.txt,setuptools-65.5.1.dist-info,41,file
